pair,date,open,high,low,close,day_of_week,month,week_of_year,is_month_end,is_month_start,max_up_pips,max_down_pips,max_profit,max_loss,daily_return,return_3d,return_5d,return_10d,rolling_std_5,rolling_std_10,rolling_std_20,label,rsi_14,atr_14,momentum_5d,momentum_10d,dist_from_mean_20d,daily_range,candle_body,upper_wick,lower_wick
EURUSD,2021-01-21,1.21057,1.21732,1.2101,1.21595,3,1,3,0,0,68,5,0.5575885739775506,-0.03882468589176755,0.44441874488878486,0.007039628970143763,0.0006583549356047325,-0.008908776734480872,0.46403894128777284,0.44073269626959727,0.40069200825177237,1.0,62.56863934021208,0.005068696138055554,0.0008000000000001339,-0.010929999999999884,-0.0023806666666665866,0.007220000000000004,0.005380000000000162,0.0013699999999998713,0.00046999999999997044
EURUSD,2021-01-22,1.21593,1.21896,1.215,1.21702,4,1,3,0,0,30,9,0.24919197651181305,-0.07648466605806875,0.08964331828312777,0.0034795514511871684,0.007892404906044703,-0.0021972616217103003,0.2930574205793608,0.40963675978044317,0.38897325740377714,0.0,63.346043223669994,0.004989503556765869,0.009530000000000038,-0.0026800000000000157,-0.0012287499999998897,0.0039599999999999635,0.0010900000000000354,0.0019400000000000528,0.0009299999999998754
EURUSD,2021-01-25,1.21672,1.21833,1.2114,1.21385,0,1,4,0,0,16,53,0.13232296666446589,-0.437241107239134,-0.23588007101057992,0.002817157397310144,0.005300426518696666,-0.0009053870529650565,0.330970985576521,0.3784885799420532,0.37922066947074684,2.0,59.40939686333804,0.005128110445568298,0.006400000000000183,-0.0010999999999998789,-0.0041399999999998105,0.006929999999999881,0.002869999999999928,0.0016099999999998893,0.0024500000000000632
EURUSD,2021-01-26,1.21368,1.2176,1.2106,1.21593,1,1,4,0,0,39,31,0.32298464175070224,-0.2537736470898584,0.18538659284159442,-1.6448044738770484e-05,0.002580804749340304,-0.0037606921639957713,0.28212842703045643,0.35042482844447065,0.37256019954605124,0.0,61.11688131232702,0.005261816842313428,0.003129999999999855,-0.004590000000000094,-0.0019455555555556447,0.007000000000000117,0.0022499999999998632,0.0016700000000000603,0.0030800000000001937
EURUSD,2021-01-27,1.21599,1.21698,1.2057,1.21075,2,1,4,0,0,10,103,0.08141514321664212,-0.8462240643426271,-0.4309245964193712,-0.005151928481043844,0.0002561052179372858,-0.004030765434129835,0.3466602342060251,0.3536973692719241,0.3724585639616065,1.0,54.920772988388045,0.0056916870678624665,0.00031000000000003247,-0.004899999999999904,-0.006750526315789429,0.011279999999999957,0.005239999999999911,0.0009900000000000464,0.005049999999999999
EURUSD,2021-01-28,1.21073,1.21424,1.2079,1.21201,3,1,4,0,0,35,28,0.28990774161042526,-0.23374327884830723,0.10572134166989731,-0.0015158380360011936,-0.003240264813520355,-0.0025840431222482474,0.2638897591310411,0.3569467395532808,0.36464977126550774,2.0,56.08698246671298,0.00573799513444372,-0.003940000000000055,-0.0031399999999999206,-0.005215999999999887,0.006340000000000012,0.0012799999999999478,0.0022299999999999542,0.00283000000000011
EURUSD,2021-01-29,1.212,1.2156,1.2092,1.21362,4,1,4,0,0,36,28,0.29702970297030096,-0.2310231023102239,0.13366336633662995,-0.001899780414991059,-0.0027937092241705486,0.005076646597487411,0.2706614453434887,0.28445954515256155,0.36711893145607066,0.0,57.5965122967547,0.0057852811962691665,-0.0034000000000000696,0.006129999999999969,-0.003217999999999943,0.006399999999999961,0.0016199999999999548,0.001980000000000093,0.0027999999999999137
EURUSD,2021-02-01,1.21285,1.21365,1.2053,1.2059,0,2,5,0,1,8,75,0.0659603413447592,-0.622500721441229,-0.5730304654326596,-0.00400578154036757,-0.006549408905548559,-0.0012836970474967568,0.35720450819571825,0.34556710379843,0.3836515243895415,0.0,48.913791192508405,0.005968475396535645,-0.007950000000000124,-0.0015499999999999403,-0.010002500000000136,0.008349999999999858,0.006950000000000012,0.0007999999999999119,0.0005999999999999339
EURUSD,2021-02-02,1.2059,1.20878,1.201,1.2042,1,2,5,0,0,29,49,0.2388257732813661,-0.40633551704120613,-0.14097354672858736,-0.006443841222432245,-0.009646936912486748,-0.007091029023746809,0.31582210554437945,0.30898814388309565,0.36638491664160366,1.0,47.22548055903571,0.006097870011068806,-0.011730000000000018,-0.008600000000000163,-0.010433999999999832,0.007779999999999898,0.0017000000000000348,0.0028799999999999937,0.0031999999999998696
EURUSD,2021-02-03,1.20432,1.20502,1.2002,1.20348,2,2,5,0,0,7,41,0.058124086621489546,-0.34210176697224354,-0.06974890394579114,-0.008355168833736881,-0.0060045426388600776,-0.005749975215623926,0.28411173558111674,0.3053619967255106,0.3576850849804892,0.0,46.49352989517548,0.006006593581706752,-0.007269999999999888,-0.006959999999999855,-0.00970699999999991,0.0048200000000000465,0.0008399999999999519,0.0006999999999999229,0.0032800000000001717
EURUSD,2021-02-04,1.20351,1.2043,1.1956,1.1962,3,2,5,0,0,8,79,0.06564133243594539,-0.6572442273018158,-0.6073900507681822,-0.008043784725101588,-0.013044446827996548,-0.016242444179448312,0.32543814501043167,0.2975003358119739,0.3664912347794236,2.0,39.77996242435466,0.00619897975444198,-0.015810000000000102,-0.019750000000000156,-0.015453000000000161,0.00869999999999993,0.00731000000000015,0.0007899999999998464,0.0005999999999999339
EURUSD,2021-02-05,1.19618,1.205,1.1951,1.2043,4,2,5,0,0,88,11,0.7373472219900057,-0.09028741493754869,0.6788276011971363,8.304268393954928e-05,-0.00767950429294173,-0.010451759215132084,0.5199406972616827,0.39391204637653743,0.3919071746457662,1.0,48.66244461089558,0.006463338343410411,-0.009319999999999995,-0.012720000000000065,-0.0065830000000002276,0.00990000000000002,0.008119999999999905,0.000700000000000145,0.0010799999999999699
EURUSD,2021-02-08,1.20375,1.2066,1.2018,1.20458,0,2,6,0,0,28,20,0.23676012461057502,-0.1619937694704148,0.0689511941848296,0.0009140160202079084,-0.0010946181275396372,-0.007636857931375474,0.46320431170704246,0.3936306811211271,0.3766526571736111,2.0,48.9427994250033,0.006344528461738233,-0.0013199999999999878,-0.009270000000000111,-0.005784500000000081,0.0047999999999999154,0.0008299999999998864,0.0020199999999999108,0.0019500000000001183
EURUSD,2021-02-09,1.20478,1.2122,1.2043,1.2117,1,2,6,0,0,74,5,0.6158800776905312,-0.039841298826344726,0.5743787247464298,0.012957699381374477,0.006228201295465974,-0.0034788186819965095,0.5210685876628588,0.43785445294717706,0.3860785752126731,1.0,55.584962212193034,0.006455633571614074,0.007500000000000062,-0.004229999999999956,0.0017765000000000697,0.007900000000000018,0.006920000000000037,0.0004999999999999449,0.00048000000000003595
EURUSD,2021-02-10,1.21168,1.21441,1.2107,1.21176,2,2,6,0,0,27,10,0.2253070117522695,-0.08087944011620071,0.0066024032747803016,0.006194469816490855,0.006880047861202332,0.0008341936816023132,0.5148697567443633,0.41411896676653703,0.37623968359407445,1.0,55.63733745625869,0.006259516887927347,0.008279999999999843,0.0010099999999999554,0.002031000000000116,0.00370999999999988,7.999999999985796e-05,0.002650000000000041,0.0009799999999999809
EURUSD,2021-02-11,1.21171,1.21495,1.2111,1.21295,3,2,6,0,0,32,6,0.26739071229914,-0.050342078550148085,0.10233471705275254,0.006948479968121646,0.014002675137936738,0.0007755711586536762,0.31479426250443315,0.4140403631247253,0.3770596027373824,1.0,56.727248195820806,0.0060874085387896725,0.016750000000000043,0.0009399999999999409,0.003330999999999973,0.003849999999999909,0.0012399999999999078,0.0020000000000000018,0.0006099999999999994
EURUSD,2021-02-12,1.21279,1.2135,1.208,1.21177,4,2,6,0,0,7,48,0.058542699065789496,-0.3949570824297753,-0.08410359584099646,5.777007510121557e-05,0.006202773395333372,-0.0015243651225259613,0.25640110670272015,0.41296914049164296,0.34614759822528607,1.0,55.277015655568384,0.006045450786018986,0.007470000000000088,-0.0018499999999999073,0.0019369999999998555,0.00550000000000006,0.0010200000000000209,0.0007099999999999884,0.003770000000000051
EURUSD,2021-02-15,1.21239,1.21452,1.2115,1.21268,0,2,7,0,0,21,9,0.17568604162026782,-0.07340872161598638,0.023919695807446566,0.0007592262494222624,0.006724335453020869,0.005622356745998758,0.2600066287518171,0.3615915723024185,0.34555518808342456,0.0,56.20683029026059,0.005829347158446203,0.008099999999999996,0.006780000000000008,0.0025855000000001294,0.0030200000000000227,0.00028999999999990145,0.0018400000000000638,0.0008900000000000574
EURUSD,2021-02-16,1.21274,1.21695,1.2093,1.21061,1,2,7,0,0,42,34,0.3471477810577739,-0.2836551940234418,-0.17563533815986654,-0.001929180922544238,-0.0008995625980028343,0.005323036040524753,0.1069924183854631,0.36384100145356635,0.3336746833165557,0.0,53.48291076247718,0.005959393789985755,-0.0010900000000000354,0.006410000000000027,0.0006249999999998757,0.007649999999999935,0.0021299999999999653,0.004210000000000047,0.0013099999999999223
EURUSD,2021-02-17,1.21058,1.2109,1.2021,1.20372,2,2,7,0,0,3,85,0.026433610335549737,-0.700490673891857,-0.5666705215681812,-0.006643174859915724,-0.006634977223212601,0.00019942167713615788,0.26078621333092605,0.4129130350177685,0.3544338283730355,2.0,45.56718191473347,0.006162294233558211,-0.008040000000000047,0.00023999999999979593,-0.005929000000000073,0.008800000000000141,0.006860000000000088,0.000320000000000098,0.0016199999999999548
EURUSD,2021-02-18,1.2036,1.20946,1.2034,1.20891,3,2,7,0,0,59,2,0.48687271518776803,-0.0166168162180108,0.4411764705882291,-0.0031088168354389545,-0.0033307226184097205,0.010625313492726995,0.36336484362133264,0.37204993209730175,0.35420920185772087,2.0,51.401997233349576,0.006154987502589765,-0.0040400000000000436,0.012709999999999999,-0.0003869999999999152,0.006059999999999954,0.005309999999999926,0.0005500000000000504,0.00019999999999997797
EURUSD,2021-02-19,1.20888,1.21445,1.208,1.21167,4,2,7,0,0,56,9,0.46075706439018554,-0.07279465290185891,0.23079213817749242,0.0008755916438820677,-8.252391130325609e-05,0.006119737606908648,0.3873003276632746,0.31868390568049154,0.35797227919909963,2.0,54.21283912835221,0.0061760598238333585,-9.999999999998899e-05,0.007370000000000099,0.0026405000000000456,0.006450000000000067,0.00279000000000007,0.0027800000000000047,0.0008799999999999919
EURUSD,2021-02-22,1.21148,1.21695,1.2089,1.21551,0,2,8,0,0,55,26,0.45151385082709466,-0.21296265724566688,0.3326509723643973,0.009794636626458075,0.002333674176204781,0.009073702037224685,0.4173607291654093,0.3300156023295504,0.3621939208104327,1.0,57.86436487226413,0.00630991269355954,0.00283000000000011,0.010930000000000106,0.006397500000000056,0.00804999999999989,0.0040300000000002,0.0014399999999998858,0.0025799999999998047
EURUSD,2021-02-23,1.21526,1.21801,1.2133,1.21486,1,2,8,0,0,28,20,0.2262890245708762,-0.1612823593305105,-0.03291476721030528,0.004921789049639802,0.0035106268740552338,0.0026079062474211323,0.4024756716184562,0.28324109912319884,0.35996981253210625,2.0,57.03520086300748,0.006195633215448144,0.004250000000000087,0.0031600000000000517,0.005800999999999945,0.004709999999999992,0.00039999999999995595,0.00275000000000003,0.0015600000000000058
EURUSD,2021-02-24,1.21496,1.21747,1.2107,1.21664,2,2,8,0,0,25,43,0.2065911634950955,-0.3506288272864893,0.1382761572397366,0.004101776886445974,0.01073339314790811,0.004027200105631401,0.18190003089227422,0.28519925200126156,0.34627404303331905,1.0,58.77723899703329,0.0062366594143447,0.012920000000000043,0.0048799999999999955,0.0072864999999999736,0.006769999999999943,0.0016799999999999038,0.0008300000000001084,0.0042599999999999305
EURUSD,2021-02-25,1.21641,1.22432,1.2154,1.2174,3,2,8,0,0,79,10,0.650274167427108,-0.0830312148042153,0.08138703233285212,0.0015549028802723797,0.007022855299402053,0.0036687414980007826,0.13981392978235427,0.28477516962503874,0.3460342079323964,0.0,59.53170223321011,0.006428326599034367,0.008490000000000109,0.004450000000000065,0.007776999999999923,0.008920000000000039,0.0009900000000000464,0.006920000000000037,0.0010099999999999554
EURUSD,2021-02-26,1.21718,1.21841,1.206,1.20704,4,2,8,0,0,12,112,0.1010532542434204,-0.918516571090551,-0.8330731691286448,-0.006436955698599145,-0.003821172431437758,-0.003903381004646156,0.45050439891885435,0.3970678108453823,0.3946249453345544,0.0,46.924207422766,0.006855588984817629,-0.004630000000000134,-0.004730000000000123,-0.0022539999999999782,0.012410000000000032,0.010140000000000038,0.0012300000000000644,0.0010399999999999299
EURUSD,2021-03-01,1.20718,1.21012,1.2026,1.20492,0,3,9,0,1,29,46,0.24354280223331773,-0.3793966102818162,-0.1872131745058673,-0.009633087848500699,-0.00871239232914589,-0.006399050037932508,0.3927244935015792,0.3991350518388222,0.37512710933836124,2.0,44.83188648935284,0.006903046914473526,-0.0105900000000001,-0.007759999999999989,-0.004324999999999912,0.007520000000000193,0.0022599999999999287,0.0029400000000001647,0.0023200000000000998
EURUSD,2021-03-02,1.20484,1.20945,1.199,1.209,1,3,9,0,0,46,58,0.3826234188771956,-0.4847116629593843,0.3452740612861595,-0.00689995071463767,-0.00482360107337465,-0.0013299080628772497,0.45622073622925147,0.4156015803869908,0.3812791057187545,0.0,49.49892085039883,0.007156400706296835,-0.005859999999999976,-0.0016099999999998893,-0.00048499999999984666,0.010449999999999848,0.004160000000000164,0.0004499999999998394,0.005839999999999845
EURUSD,2021-03-03,1.20893,1.21133,1.2041,1.20634,2,3,9,0,0,24,48,0.19852266053451875,-0.3995268543257353,-0.21423903782684622,-0.0005799310710498107,-0.008465938979484444,0.0021765859169906587,0.4388243179435146,0.3757112746033125,0.3844921818195364,0.0,46.723707847672614,0.007161657798704209,-0.010299999999999976,0.0026200000000000667,-0.0032879999999999576,0.00723000000000007,0.0025900000000000922,0.0023999999999999577,0.0022400000000000198
EURUSD,2021-03-04,1.20624,1.20666,1.196,1.19688,3,3,9,0,0,4,102,0.034818941504185484,-0.8489189547685392,-0.7759649820931187,-0.006672642167114828,-0.016855593888615128,-0.009951112986078314,0.48520738023121596,0.4220737229165023,0.4003997464889346,0.0,38.46424214631556,0.007411539384511059,-0.020520000000000094,-0.012029999999999985,-0.012782000000000293,0.010660000000000114,0.009360000000000035,0.00042000000000008697,0.0008799999999999919
EURUSD,2021-03-05,1.19679,1.19777,1.1892,1.19079,4,3,9,0,0,10,76,0.08188571094343877,-0.6341964755721543,-0.501341087408819,-0.015062034739454111,-0.013462685577942612,-0.01723241476639681,0.417728925711173,0.42345247797009916,0.382872738037351,0.0,34.26495424971917,0.007494286571331696,-0.016249999999999876,-0.02088000000000001,-0.01819649999999995,0.008569999999999967,0.006000000000000005,0.0009799999999999809,0.0015899999999999803
EURUSD,2021-03-08,1.1917,1.19324,1.1842,1.1846,0,3,10,0,0,15,75,0.12922715448519737,-0.6293530250902125,-0.5957875304187198,-0.01802145332161731,-0.016864190153703107,-0.02542965504191652,0.43777455577128227,0.4036028487948393,0.4003413450870747,2.0,30.607308424973183,0.007604694673379444,-0.020319999999999894,-0.030909999999999993,-0.023387499999999894,0.009040000000000159,0.007099999999999884,0.0015400000000000968,0.000400000000000178
EURUSD,2021-03-09,1.18462,1.19158,1.1834,1.18995,1,3,10,0,0,70,12,0.5875301784538567,-0.10298661174047365,0.44993331194814007,-0.005790054140765943,-0.015756823821339916,-0.020504420262417056,0.4797265786011394,0.4585998106394408,0.3904054734347394,2.0,36.878848777315454,0.007645787910995203,-0.01905000000000001,-0.024909999999999988,-0.01695000000000002,0.008180000000000076,0.005330000000000057,0.0016300000000000203,0.0012199999999999989
EURUSD,2021-03-10,1.18992,1.193,1.1867,1.19287,2,3,10,0,0,31,32,0.2588409304827191,-0.2706064273228453,0.2479158262740359,0.0017467395594521484,-0.011166006266889794,-0.0195374145186743,0.5468294189984289,0.46902423548105093,0.39724100731451045,2.0,40.06282983463764,0.007549660203066973,-0.013469999999999871,-0.023769999999999847,-0.013085499999999861,0.006299999999999972,0.002950000000000008,0.00012999999999996348,0.0032200000000000006
EURUSD,2021-03-11,1.19287,1.199,1.1914,1.19839,3,3,10,0,0,61,15,0.5138866766705482,-0.12323220468283066,0.46274950329876424,0.011641060273509973,0.0012616135285075103,-0.015615245605388517,0.5204659747443099,0.5081644279109144,0.4137174949356786,0.0,45.644684152675325,0.007553255902847907,0.0015100000000001224,-0.01900999999999997,-0.00683749999999983,0.007600000000000051,0.005519999999999969,0.0006099999999999994,0.0014700000000000824
EURUSD,2021-03-12,1.19846,1.19885,1.1908,1.19516,4,3,10,0,0,4,77,0.03254176192779821,-0.6391535804282161,-0.27535337015837663,0.004378335224169083,0.003669832632118064,-0.009842258748674393,0.47224581735113413,0.4538046974149742,0.4164892310936433,0.0,43.114491120360675,0.007588737624073048,0.004369999999999985,-0.01187999999999989,-0.00923699999999994,0.00804999999999989,0.0033000000000000806,0.00038999999999989043,0.0043599999999999195
EURUSD,2021-03-15,1.19489,1.19675,1.1916,1.1927,0,3,11,0,0,19,33,0.15566286436408144,-0.2753391525579773,-0.18328046933189784,-0.00014251343398696825,0.006837751139625148,-0.010141752149520178,0.34960679239651477,0.45372665674190094,0.41660166205409704,0.0,41.2395210890238,0.007414542079496401,0.008099999999999996,-0.012219999999999898,-0.010697999999999874,0.005149999999999988,0.0021899999999999142,0.0018599999999999728,0.001100000000000101
EURUSD,2021-03-16,1.19276,1.19519,1.1881,1.19008,1,3,11,0,0,24,47,0.20372916596800128,-0.3906904993460636,-0.22468895670545755,-0.006934303523894569,0.00010924828774316886,-0.015649296939619584,0.3299038394197538,0.42596727569803117,0.4173345809294744,2.0,39.28024292376062,0.0073913605023895185,0.00012999999999996348,-0.018920000000000048,-0.012291500000000122,0.007090000000000041,0.0026800000000000157,0.002429999999999932,0.001980000000000093
EURUSD,2021-03-17,1.19011,1.19857,1.1884,1.198,2,3,11,0,0,85,17,0.7108586601238467,-0.14368419725908532,0.6629639277041578,0.002376250878543429,0.0043005524491350755,-0.006913473813352833,0.4400036118171754,0.4980156956609533,0.4326275627365778,0.0,47.41351339300061,0.0075898347522188395,0.005129999999999857,-0.008340000000000014,-0.004085500000000186,0.010170000000000012,0.007889999999999953,0.0005699999999999594,0.0017100000000001003
EURUSD,2021-03-18,1.19796,1.19889,1.1904,1.19124,3,3,11,0,0,9,76,0.07763197435641403,-0.6310728238004618,-0.5609536211559516,-0.0012241133562505002,-0.005966338170378616,-0.00471225185482238,0.46002761562821987,0.4680474098706415,0.4342458155587876,1.0,42.2157564964223,0.007654132269917502,-0.00714999999999999,-0.005639999999999867,-0.009961999999999804,0.008490000000000109,0.006719999999999837,0.0009300000000000974,0.0008400000000001739
EURUSD,2021-03-19,1.19118,1.19372,1.1872,1.1904,4,3,11,0,0,25,40,0.21323393609697835,-0.3341224667976186,-0.06548128746285221,0.00026888948642089794,-0.003982730345727825,-0.0003275136673973611,0.45137600624459007,0.4410472738916174,0.4283997752144897,2.0,41.60540383813642,0.007573122822066242,-0.0047600000000000975,-0.0003900000000001125,-0.009738500000000094,0.006519999999999859,0.0007800000000000029,0.0025399999999999867,0.0031999999999998696
EURUSD,2021-03-22,1.18798,1.1947,1.1873,1.19325,0,3,12,0,0,67,7,0.5656660886546961,-0.05724002087577349,0.44361016178722584,-0.0039649415692821766,0.0004611385931079237,0.007302042883673643,0.4981721773226501,0.40845770038267765,0.4347839811135812,0.0,44.53543431804638,0.007560756906204373,0.0005499999999998284,0.008649999999999824,-0.0057755000000001555,0.007400000000000073,0.005269999999999886,0.0014500000000001734,0.0006800000000000139
EURUSD,2021-03-23,1.19344,1.19409,1.184,1.1849,1,3,12,0,0,7,94,0.05446440541627894,-0.7909907494302281,-0.7155784957769131,-0.005322185285920544,-0.004352648561441241,-0.004243875793100593,0.6033726374702877,0.45928516457952895,0.4570445923276921,0.0,38.448420581369575,0.007741417127189786,-0.005179999999999962,-0.005049999999999999,-0.012627500000000014,0.010090000000000154,0.008539999999999992,0.0006500000000000394,0.0009000000000001229
EURUSD,2021-03-24,1.18486,1.1852,1.1808,1.18117,2,3,12,0,0,3,41,0.028695373293047867,-0.3426565163816782,-0.3114291983863048,-0.007753696236558971,-0.014048414023372202,-0.009808277515571673,0.45608347972324553,0.45697621926647763,0.45498359090429086,0.0,36.076346854370755,0.007502744475247656,-0.0168299999999999,-0.011700000000000044,-0.014584000000000152,0.0043999999999999595,0.003689999999999971,0.00034000000000000696,0.00036999999999998145
EURUSD,2021-03-25,1.18123,1.18278,1.176,1.1768,3,3,12,0,0,15,52,0.13121915291686972,-0.44275881919694454,-0.37503280478822365,-0.013785878902157878,-0.01212182263859507,-0.01801583791587047,0.43043266184520673,0.42258202800342765,0.45487190275694245,2.0,33.4709437536503,0.007451119869872824,-0.014440000000000008,-0.021589999999999998,-0.01692399999999994,0.006780000000000008,0.004429999999999934,0.0015499999999999403,0.0008000000000001339
EURUSD,2021-03-26,1.17676,1.18053,1.1766,1.17928,4,3,12,0,0,38,2,0.3203711886875872,-0.013596655222809916,0.2141473197593458,-0.004743016288294322,-0.009341397849462196,-0.013286923926503436,0.4694539226843109,0.43594218517863964,0.43311087996410524,0.0,36.28323947731802,0.00719961130773905,-0.011119999999999797,-0.015879999999999894,-0.013055999999999957,0.003929999999999989,0.0025200000000000777,0.0012499999999999734,0.00015999999999993797
EURUSD,2021-03-29,1.1789,1.17939,1.1759,1.17656,0,3,13,0,0,5,30,0.04156416998896254,-0.2544745101365776,-0.19849011790652377,-0.003902909826697276,-0.013987010266079958,-0.013532321623207832,0.3356098948426046,0.43624659314222797,0.43322677363593637,0.0,34.55780799615687,0.006934639071471975,-0.01668999999999987,-0.016140000000000043,-0.01435799999999987,0.003489999999999993,0.0023400000000000087,0.0004899999999998794,0.000660000000000105
